MPRN,Meter Serial Number,Read Value,Read Type,Read Date and End Time
10304661203,000000000022156102,0.472,Active Import Interval (kW),25-03-2025 03:30
10304661203,000000000022156102,0.518,Active Import Interval (kW),25-03-2025 03:00
10304661203,000000000022156102,0.494,Active Import Interval (kW),25-03-2025 02:30
10304661203,000000000022156102,1.978,Active Import Interval (kW),25-03-2025 02:00
10304661203,000000000022156102,0.700,Active Import Interval (kW),25-03-2025 01:30
10304661203,000000000022156102,0.474,Active Import Interval (kW),25-03-2025 01:00
10304661203,000000000022156102,0.754,Active Import Interval (kW),25-03-2025 00:30
10304661203,000000000022156102,0.756,Active Import Interval (kW),25-03-2025 00:00
10304661203,000000000022156102,2.832,Active Import Interval (kW),24-03-2025 23:30
10304661203,000000000022156102,4.852,Active Import Interval (kW),24-03-2025 23:00
10304661203,000000000022156102,1.584,Active Import Interval (kW),24-03-2025 22:30
10304661203,000000000022156102,0.658,Active Import Interval (kW),24-03-2025 22:00
10304661203,000000000022156102,0.636,Active Import Interval (kW),24-03-2025 21:30
10304661203,000000000022156102,2.178,Active Import Interval (kW),24-03-2025 21:00
10304661203,000000000022156102,0.730,Active Import Interval (kW),24-03-2025 20:30
10304661203,000000000022156102,0.316,Active Import Interval (kW),24-03-2025 20:00
10304661203,000000000022156102,0.298,Active Import Interval (kW),24-03-2025 19:30
10304661203,000000000022156102,0.508,Active Import Interval (kW),24-03-2025 19:00
10304661203,000000000022156102,0.346,Active Import Interval (kW),24-03-2025 18:30
10304661203,000000000022156102,2.188,Active Import Interval (kW),24-03-2025 18:00
10304661203,000000000022156102,1.932,Active Import Interval (kW),24-03-2025 17:30
10304661203,000000000022156102,1.430,Active Import Interval (kW),24-03-2025 17:00
10304661203,000000000022156102,0.302,Active Import Interval (kW),24-03-2025 16:30
10304661203,000000000022156102,0.986,Active Import Interval (kW),24-03-2025 16:00
10304661203,000000000022156102,1.098,Active Import Interval (kW),24-03-2025 15:30
10304661203,000000000022156102,1.000,Active Import Interval (kW),24-03-2025 15:00
10304661203,000000000022156102,0.792,Active Import Interval (kW),24-03-2025 14:30
10304661203,000000000022156102,0.406,Active Import Interval (kW),24-03-2025 14:00
10304661203,000000000022156102,1.090,Active Import Interval (kW),24-03-2025 13:30
10304661203,000000000022156102,0.700,Active Import Interval (kW),24-03-2025 13:00
10304661203,000000000022156102,1.272,Active Import Interval (kW),24-03-2025 12:30
10304661203,000000000022156102,1.790,Active Import Interval (kW),24-03-2025 12:00
10304661203,000000000022156102,0.372,Active Import Interval (kW),24-03-2025 11:30
10304661203,000000000022156102,0.504,Active Import Interval (kW),24-03-2025 11:00
10304661203,000000000022156102,0.416,Active Import Interval (kW),24-03-2025 10:30
10304661203,000000000022156102,0.400,Active Import Interval (kW),24-03-2025 10:00
10304661203,000000000022156102,0.462,Active Import Interval (kW),24-03-2025 09:30
10304661203,000000000022156102,1.766,Active Import Interval (kW),24-03-2025 09:00
10304661203,000000000022156102,1.670,Active Import Interval (kW),24-03-2025 08:30
10304661203,000000000022156102,1.654,Active Import Interval (kW),24-03-2025 08:00
10304661203,000000000022156102,0.262,Active Import Interval (kW),24-03-2025 07:30
10304661203,000000000022156102,0.242,Active Import Interval (kW),24-03-2025 07:00
10304661203,000000000022156102,0.264,Active Import Interval (kW),24-03-2025 06:30
10304661203,000000000022156102,0.250,Active Import Interval (kW),24-03-2025 06:00
10304661203,000000000022156102,1.690,Active Import Interval (kW),24-03-2025 05:30
10304661203,000000000022156102,0.408,Active Import Interval (kW),24-03-2025 05:00
10304661203,000000000022156102,0.408,Active Import Interval (kW),24-03-2025 04:30
10304661203,000000000022156102,0.498,Active Import Interval (kW),24-03-2025 04:00
10304661203,000000000022156102,0.382,Active Import Interval (kW),24-03-2025 03:30
10304661203,000000000022156102,0.590,Active Import Interval (kW),24-03-2025 03:00
